english,javanese,en_length,jv_length,length_ratio
You need to learn how to speak French.,Sampeyan kudu sinau babagan basa Prancis.,8,6,1.3333333333333333
Tom went back to school to get something he forgot.,Tom bali menyang sekolah kanggo njaluk soko kang kelalen.,10,9,1.1111111111111112
I think I should've talked to Tom about that.,Aku kudune ngomong karo Tom babagan iki.,9,7,1.2857142857142858
I'm sorry I wasn't there today.,Nuwun sewu kula mboten wonten dinten menika.,6,7,0.8571428571428571
Tom is unlikely to forget to tell Mary to do that.,Tom ora mungkin lali ngandhani Mary supaya nglakoni.,11,8,1.375
Tom realized he no longer needed to do that.,Tom nyadari yen dheweke ora perlu maneh.,9,7,1.2857142857142858
Who did you visit?,Sapa sing sampeyan dolan?,4,4,1.0
Tom wasn't able to say what he wanted to in French.,Tom ora bisa ngomong apa sing dikarepake ing basa Prancis.,11,10,1.1
I don't think Tom enjoys hanging out with us.,Aku ora mikir Tom seneng nongkrong karo kita.,9,8,1.125
I hope you're not planning to do that today.,Muga-muga sampeyan ora ngrencanakake dina iki.,9,6,1.5
"Tom is going to find out who did that, eventually.","Tom bakal nemokake sapa sing nindakake, pungkasane.",10,7,1.4285714285714286
Tom made me swear not to ever do that again.,Tom nggawe aku sumpah ora bakal nindakake maneh.,10,8,1.25
I'm sure the police will catch the robber eventually.,Aku yakin polisi bakal nyekel begal pungkasane.,9,7,1.2857142857142858
Tom took his car to the mechanic's to get it fixed.,Tom njupuk mobil menyang mekanik kanggo ndandani.,11,7,1.5714285714285714
Do you think Tom will be here this afternoon?,Apa sampeyan mikir Tom bakal teka ing kene sore iki?,9,10,0.9
Who taught you how to play the guitar?,Sapa sing ngajari sampeyan main gitar?,8,6,1.3333333333333333
Tom decided that he didn't really like doing that.,Tom mutusake yen dheweke ora seneng nglakoni.,9,7,1.2857142857142858
Tom isn't the only one here who can do that.,Ora mung Tom sing bisa nindakake iki.,10,7,1.4285714285714286
I don't want to sing right now.,Aku ora pengin nyanyi saiki.,7,5,1.4
Tom said he knew something bad was going to happen.,Tom kandha yen dheweke ngerti ana kedadeyan sing ala.,10,9,1.1111111111111112
Who did Tom think would cook dinner for him?,Sapa sing dipikir Tom bakal masak nedha bengi kanggo dheweke?,9,10,0.9
I won't stay here.,Aku ora bakal tetep kene.,4,5,0.8
I'm the one who convinced Tom to start doing that.,Aku sing nggawe percoyo Tom kanggo miwiti iku.,10,8,1.25
"Tom isn't really planning to do that, is he?","Tom ora ngrencanakake apa, ta?",9,5,1.8
I know you probably didn't want to do that.,Aku ngerti sampeyan mbokmenawa ora pengin nglakoni.,9,7,1.2857142857142858
Tom knew that Mary didn't want to be seen with him.,Tom ngerti yen Mary ora pengin katon karo dheweke.,11,9,1.2222222222222223
Where do you think Tom is going to go today?,Kira-kira Tom arep menyang endi dina iki?,10,7,1.4285714285714286
I'm getting so sick of having to come here every day.,Aku dadi lara amarga saben dina kudu teka ing kene.,11,10,1.1
I'm sure Tom will try to convince Mary to do that.,Aku yakin Tom bakal nyoba ngyakinake Mary supaya nglakoni.,11,9,1.2222222222222223
Tom isn't going to be mad if Mary does that.,Tom ora bakal nesu yen Mary nindakake iku.,10,8,1.25
Who did you give your old computer to?,Sapa sing menehi komputer lawas sampeyan?,8,6,1.3333333333333333
Tom is finally going to do what he told us he'd do.,Tom pungkasane bakal nindakake apa sing dikandhakake.,12,7,1.7142857142857142
When was the last time Tom cleaned his room?,Nalika pungkasan wektu Tom ngresiki kamar?,9,6,1.5
I don't want to be the manager.,Aku ora pengin dadi manajer.,7,5,1.4
I'm not surprised that Tom didn't want to do that.,Aku ora kaget yen Tom ora pengin nglakoni.,10,8,1.25
Tom isn't doing that the way he was told to.,Tom ora nindakake kaya sing didhawuhake.,10,6,1.6666666666666667
I won't go there.,Aku ora bakal mrana.,4,4,1.0
Tom has been seeing a counselor three times a week.,Tom wis ndeleng penasihat telung kaping seminggu.,10,7,1.4285714285714286
"When Tom told me that, I didn't believe him.","Nalika Tom ngandhani aku, aku ora percaya.",9,7,1.2857142857142858
Tom still can't do that.,Tom isih ora bisa nglakoni.,5,5,1.0
Tom and Mary weren't able to help me.,Tom lan Mary ora bisa nulungi aku.,8,7,1.1428571428571428
Tom and Mary couldn't help me.,Tom lan Mary ora bisa nulungi aku.,6,7,0.8571428571428571
Tom and Mary were unable to help me.,Tom lan Mary ora bisa nulungi aku.,8,7,1.1428571428571428
Tom and Mary weren't able to help John.,Tom lan Mary ora bisa nulungi John.,8,7,1.1428571428571428
Tom and Mary couldn't help John.,Tom lan Mary ora bisa nulungi John.,6,7,0.8571428571428571
Tom and Mary were unable to help John.,Tom lan Mary ora bisa nulungi John.,8,7,1.1428571428571428
Tom and Mary weren't able to help me do that.,Tom lan Mary ora bisa nulungi aku.,10,7,1.4285714285714286
What makes you think Tom isn't a Canadian?,Apa sampeyan mikir Tom dudu Kanada?,8,6,1.3333333333333333
I don't think Tom would mind doing that for you.,Aku ora mikir Tom bakal keberatan nindakake kanggo sampeyan.,10,9,1.1111111111111112
Tom wanted to go outside and play.,Tom kepengin metu lan muter.,7,5,1.4
What makes you think Tom isn't happy here?,Apa sing nggawe sampeyan mikir Tom ora seneng ing kene?,8,10,0.8
I don't think Tom would mind it if you did that.,Aku ora mikir Tom bakal keberatan yen sampeyan nindakake iku.,11,10,1.1
Tom was Mary's college sweetheart.,Tom minangka gendhakan kuliah Mary.,5,5,1.0
What time did Tom say he wanted to arrive?,Jam pira Tom ngomong arep teka?,9,6,1.5
I doubt Tom will ever forgive me for doing that.,Aku sangsi Tom bakal tau ngapura kula kanggo mengkono.,10,9,1.1111111111111112
Tom was arrested without incident.,Tom dicekel tanpa kedadeyan.,5,4,1.25
What time does Tom usually leave for work?,Jam pira Tom biasane mangkat kerja?,8,6,1.3333333333333333
I think Tom isn't going to do that anytime soon.,Aku mikir Tom ora bakal nindakake iku kapan wae.,10,9,1.1111111111111112
Tom was definitely not in a hurry.,Tom mesthi ora kesusu.,7,4,1.75
Do you think Tom will ever come here again?,Apa sampeyan mikir Tom bakal teka ing kene maneh?,9,9,1.0
I thought that Tom was going to like doing that.,Aku mikir yen Tom bakal seneng nglakoni.,10,7,1.4285714285714286
Tom was definitely not very happy.,Tom mesthi ora seneng banget.,6,5,1.2
Do you think Tom would've done it that way?,Apa sampeyan mikir Tom bakal nindakake kaya ngono?,9,8,1.125
I thought that Tom was going to want to do that.,Aku panginten sing Tom arep kanggo nindakake iku.,11,8,1.375
Tom was excited to see Mary again.,Tom bungah banget ketemu Mary maneh.,7,6,1.1666666666666667
I don't know who any of Tom's teachers are.,Aku ora ngerti sapa gurune Tom.,9,6,1.5
I thought that Tom was interested in doing that.,Aku panginten sing Tom kasengsem ing mengkono iku.,9,8,1.125
Tom was the first one to see Mary.,Tom minangka wong pisanan sing ndeleng Mary.,8,7,1.1428571428571428
I don't think you should go there with Tom.,Aku ora mikir sampeyan kudu mrana karo Tom.,9,8,1.125
I'd like to know why Tom isn't going to do that.,Aku pengin ngerti kenapa Tom ora bakal nindakake.,11,8,1.375
We have to tell Tom what happened.,Kita kudu ngandhani Tom apa sing kedadeyan.,7,7,1.0
I don't want to be in the same room as Tom.,Aku ora pengin ana ing kamar sing padha karo Tom.,11,10,1.1
I'm quite certain Tom didn't do that on purpose.,Aku yakin Tom ora sengaja nglakoni.,9,6,1.5
"When Tom kissed Mary, she slapped him.","Nalika Tom ngambung Mary, dheweke napuk dheweke.",7,7,1.0
I think Tom and Mary don't know each other.,Aku mikir Tom lan Mary ora kenal.,9,7,1.2857142857142858
Tom is already big enough to do that by himself.,Tom wis cukup gedhe kanggo nindakake dhewe.,10,7,1.4285714285714286
When does Tom expect us to arrive?,Nalika Tom ngarepake kita teka?,7,5,1.4
I think Tom would rather be playing tennis.,Aku mikir Tom luwih seneng main tenis.,8,7,1.1428571428571428
Tom is the one who's going to help Mary do that.,Tom sing arep nulungi Maryam kuwi.,11,6,1.8333333333333333
When does Tom want me to be there?,Kapan Tom pengin aku ana?,8,5,1.6
I thought I heard Tom was going to be here.,Aku panginten aku krungu Tom arep kene.,10,7,1.4285714285714286
Tom is the only one who doesn't want to do that.,Tom mung siji sing ora pengin nglakoni.,11,7,1.5714285714285714
When is Tom going to go to Boston?,Nalika Tom arep menyang Boston?,8,5,1.6
I thought I was going to see Tom yesterday.,Aku panginten aku arep ketemu Tom wingi.,9,7,1.2857142857142858
Tom knew he wasn't likely to be able to do that.,Tom ngerti yen dheweke ora bakal bisa nindakake.,11,8,1.375
When is Tom planning to come over?,Kapan Tom arep teka?,7,4,1.75
I thought Tom was going to Boston with you.,Aku panginten Tom arep menyang Boston karo sampeyan.,9,8,1.125
Tom needs to ask Mary for permission to do that.,Tom kudu njaluk ijin marang Mary kanggo nglakoni.,10,8,1.25
Everything Tom did made Mary angry.,Kabeh sing ditindakake Tom nggawe Mary nesu.,6,7,0.8571428571428571
No one knows exactly where Tom wants to go.,Ora ana sing ngerti persis ing ngendi Tom arep lunga.,9,10,0.9
Tom ought to ask Mary for permission to do that.,Tom kudu njaluk ijin marang Mary kanggo nglakoni.,10,8,1.25
I could smell beer on Tom's breath.,Aku bisa mambu bir ing ambegan Tom.,7,7,1.0
"Someone must've told Tom, but it wasn't me.","Mesthi ana wong sing ngandhani Tom, nanging dudu aku.",8,9,0.8888888888888888
Tom said he hoped he never had to do that again.,"Tom kandha, dheweke ngarep-arep ora kudu nindakake maneh.",11,8,1.375
I haven't seen Tom since Christmas.,Aku ora weruh Tom wiwit Natal.,6,6,1.0
The last time I saw Tom was Monday morning.,Wektu pungkasan aku weruh Tom ana esuk.,9,7,1.2857142857142858
I hope Tom doesn't lose his temper.,Muga-muga Tom ora kesel.,7,4,1.75
The only place Tom has ever gone is Boston.,Siji-sijine papan sing wis ditindakake Tom yaiku Boston.,9,8,1.125
Tom said that he didn't really enjoy doing that.,Tom kandha yen dheweke ora seneng banget.,9,7,1.2857142857142858
I just got a text message from Tom.,Aku mung entuk pesen teks saka Tom.,8,7,1.1428571428571428
Tom Jackson was considered a great teacher.,Tom Jackson dianggep guru gedhe.,7,5,1.4
Tom should tell Mary that she shouldn't do that.,Tom kudu ngandhani Mary yen dheweke ora kudu nglakoni.,9,9,1.0
I met Tom in the library yesterday.,Aku ketemu Tom ing perpustakaan wingi.,7,6,1.1666666666666667
Tom already knows what Mary is going to do.,Tom wis ngerti apa sing bakal ditindakake Mary.,9,8,1.125
Tom would be disappointed if you didn't do that.,Tom bakal kuciwa yen sampeyan ora nglakoni.,9,7,1.2857142857142858
I really should've helped Tom more.,Aku pancene kudu mbantu Tom luwih akeh.,6,7,0.8571428571428571
Tom and Mary are talking about their plans.,Tom lan Mary ngomong babagan rencana.,8,6,1.3333333333333333
What would've happened to Tom if he'd done that?,Apa sing bakal kedadeyan karo Tom yen dheweke nindakake?,9,9,1.0
I saw Tom in the park that morning.,Aku weruh Tom ing taman esuk.,8,6,1.3333333333333333
Tom and Mary arranged to meet in the lobby.,Tom lan Mary ngatur kanggo ketemu ing lobi.,9,8,1.125
When did you find out that Tom couldn't do that?,Nalika sampeyan ngerti yen Tom ora bisa nindakake?,10,8,1.25
I think I've convinced Tom to help.,Aku wis yakin Tom kanggo bantuan.,7,6,1.1666666666666667
Tom and Mary were finally completely alone.,Tom lan Mary pungkasanipun rampung piyambak.,7,6,1.1666666666666667
Why did Tom think it was a good idea to do that?,Apa sebabe Tom mikir yen pancen apike?,12,7,1.7142857142857142
I think Tom is going to get the ax.,Aku mikir Tom bakal njupuk kapak.,9,6,1.5
Tom apparently hasn't told Mary what to do.,Tom ketoke durung ngandhani Mary apa sing kudu ditindakake.,8,9,0.8888888888888888
Why didn't you tell Tom you'd already done that?,Napa sampeyan ora ngandhani Tom yen sampeyan wis nindakake?,9,9,1.0
"I think Tom is probably right, too.",Aku mikir Tom uga bener.,7,5,1.4
Tom asked his boss if he could leave early.,Tom takon marang boss yen dheweke bisa lunga luwih awal.,9,10,0.9
Why should Tom insist that Mary do that for him?,Yagene Tom kudu ngeyel yen Mary nindakake iku kanggo dheweke?,10,10,1.0
I think Tom knows where Mary lives.,Aku mikir Tom ngerti ngendi Mary urip.,7,7,1.0
Tom couldn't imagine his life without Mary.,Tom ora bisa mbayangno uripe tanpa Mary.,7,7,1.0
Would you like me to ask Tom to do that for you?,Punapa panjenengan kersa kula nyuwun Tom supados nindakaken panjenengan?,12,9,1.3333333333333333
I think Tom wanted to kill us both.,Aku mikir Tom pengin mateni kita loro.,8,7,1.1428571428571428
Tom didn't know Mary was going to be fired.,Tom ora ngerti Mary bakal dipecat.,9,6,1.5
Would you tell Tom why we don't want to do that?,Apa sampeyan bakal ngandhani Tom kenapa kita ora pengin nindakake?,11,10,1.1
I think it was Tom who helped Mary.,Aku iki Tom sing mbantu Mary.,8,6,1.3333333333333333
Tom didn't know how to apologize in French.,Tom ora ngerti carane njaluk ngapura ing basa Prancis.,8,9,0.8888888888888888
Do you think Tom will ever make money doing that?,Apa sampeyan mikir Tom bakal entuk dhuwit kanthi nindakake iki?,10,10,1.0
I think that I'm going to help Tom.,Aku mikir yen aku bakal nulungi Tom.,8,7,1.1428571428571428
Tom drank three bottles of wine last night.,Tom ngombe telung botol anggur wingi bengi.,8,7,1.1428571428571428
Do you think Tom would care if we didn't do that?,Apa sampeyan mikir Tom bakal peduli yen kita ora nindakake?,11,10,1.1
I think we should write Tom a note.,Aku mikir kita kudu nulis cathetan Tom.,8,7,1.1428571428571428
Tom felt really bad about what he had done.,Tom rumangsa ala banget babagan apa sing wis ditindakake.,9,9,1.0
Do you think Tom would mind if we didn't do that?,Apa sampeyan mikir Tom bakal keberatan yen kita ora nindakake?,11,10,1.1
I thought Tom was going to help us.,Aku panginten Tom bakal mbantu kita.,8,6,1.3333333333333333
Tom found three gold coins in his backyard.,Tom ketemu telung dhuwit recehan emas ing latar mburi.,8,9,0.8888888888888888
Have you ever asked Tom why he enjoys doing that?,Apa sampeyan tau takon Tom kenapa dheweke seneng nglakoni?,10,9,1.1111111111111112
I thought that Tom might be hungry.,Aku panginten sing Tom bisa luwe.,7,6,1.1666666666666667
Tom had enough money to buy what he needed.,Tom duwe dhuwit cukup kanggo tuku apa sing dibutuhake.,9,9,1.0
I think Tom might not want to do that by himself.,Aku mikir Tom bisa uga ora pengin nindakake dhewe.,11,9,1.2222222222222223
I was at Tom's yesterday afternoon.,Aku ana ing Tom's wingi afternoon.,6,6,1.0
Tom had enough money to buy what he wanted.,Tom duwe dhuwit cukup kanggo tuku apa sing dikarepake.,9,9,1.0
I thought Tom was going to be the one to do that.,Aku panginten Tom bakal dadi siji kanggo nindakake iku.,12,9,1.3333333333333333
I wish I could swim as well as Tom.,Aku pengin aku bisa nglangi uga Tom.,9,7,1.2857142857142858
Tom had no idea that he was being impolite.,Tom ora ngerti yen dheweke ora sopan.,9,7,1.2857142857142858
I thought that Tom was going to enjoy doing that.,Aku mikir yen Tom bakal seneng nglakoni.,10,7,1.4285714285714286
I'm afraid Tom might not like this.,Aku wedi Tom ora seneng iki.,7,6,1.1666666666666667
Tom hasn't done anything he was told to do.,Tom durung nindakake apa-apa sing didhawuhake.,9,6,1.5
I'm the one who convinced Tom to stop doing that.,Aku sing ngyakinake Tom supaya mandheg nglakoni.,10,7,1.4285714285714286
"If Tom asks me to help him, I will.","Yen Tom njaluk aku nulungi dheweke, aku bakal.",9,8,1.125
Tom hasn't done anything we told him to do.,Tom durung nindakake apa-apa sing dakkandhakake.,9,6,1.5
Tom already knows that Mary wants him to do that.,Tom wis ngerti yen Mary pengin dheweke nindakake.,10,8,1.25
Tell Tom that I'm waiting for Mary.,Marang Tom yen aku ngenteni Mary.,7,6,1.1666666666666667
Tom hopped on his motorcycle and drove off.,Tom mlumpat ing motor lan mlayu.,8,6,1.3333333333333333
Tom didn't realize Mary had to help John do that.,Tom ora ngerti yen Mary kudu nulungi John.,10,8,1.25
That's all Tom really wanted to do.,Iku kabeh sing dikarepake Tom.,7,5,1.4
Tom is eating lunch with Mary on the porch.,Tom lagi mangan nedha awan karo Mary ing teras.,9,9,1.0
Tom forgot to ask Mary for permission to do that.,Tom kelalen njaluk ijin marang Mary kanggo nglakoni.,10,8,1.25
"The message was from Tom, not Mary.","Pesen kasebut saka Tom, dudu Mary.",7,6,1.1666666666666667
Tom is having lunch with Mary on the porch.,Tom lagi nedha awan karo Mary ing teras.,9,8,1.125
Tom is going to be angry if Mary doesn't do that.,Tom bakal nesu yen Mary ora nglakoni.,11,7,1.5714285714285714
We're in no hurry to do that.,Kita ora kesusu nglakoni.,7,4,1.75
We're here to finish the job.,We are kene kanggo ngrampungake proyek.,6,6,1.0
Tom was a friend and a mentor.,Tom minangka kanca lan mentor.,7,5,1.4
We're here to demand justice.,Kita kene kanggo njaluk keadilan.,5,5,1.0
We're here for the long haul.,Kita ing kene kanggo jangka panjang.,6,6,1.0
Tom wants to remain anonymous.,Tom pengin tetep anonim.,5,4,1.25
We're going to put on a show.,Kita bakal nggawe pertunjukan.,7,4,1.75
We're going to go after them.,Kita bakal ngetutake dheweke.,6,4,1.5
Tom wants to improve his life.,Tom pengin nambah uripe.,6,4,1.5
We're going to build on this.,Kita bakal mbangun iki.,6,4,1.5
We're glad it all worked out.,Kita seneng kabeh wis rampung.,6,5,1.2
Tom wanted to write something.,Tom pengin nulis apa wae.,5,5,1.0
We're expecting some hiccups.,Kita ngarepake sawetara hiccups.,4,4,1.0
We're expecting a busy night.,Kita ngarepake wengi sing sibuk.,5,5,1.0
Tom wanted to see what was up.,Tom kepengin weruh apa sing kedadeyan.,7,6,1.1666666666666667
We're due back in court soon.,Kita bakal bali ing pengadilan enggal.,6,6,1.0
We're covering all our bases.,Kita nutupi kabeh basis kita.,5,5,1.0
Tom wanted to keep Mary alive.,Tom pengin njaga Mary supaya urip.,6,6,1.0
We're checking for hepatitis.,Kita mriksa hepatitis.,4,3,1.3333333333333333
We're certainly not affluent.,Kita mesthi ora makmur.,4,4,1.0
Tom wanted to get out of jail.,Tom kepengin metu saka kunjara.,7,5,1.4
We're becoming too conceited.,Kita dadi sombong banget.,4,4,1.0
We're at the top of our game.,Kita ing ndhuwur game kita.,7,5,1.4
Tom wanted to get a black van.,Tom pengin njaluk van ireng.,7,5,1.4
We're as capable as they are.,Kita bisa kaya dheweke.,6,4,1.5
We're an advertising company.,Kita perusahaan iklan.,4,3,1.3333333333333333
Tom visits us every other day.,Tom ngunjungi kita saben dina.,6,5,1.2
We're all trying to act cool.,Kita kabeh nyoba tumindak keren.,6,5,1.2
We'll try again next weekend.,Kita bakal nyoba maneh akhir minggu ngarep.,5,7,0.7142857142857143
Tom uttered a cry of surprise.,Tom ngucap kaget.,6,3,2.0
We'll take whatever you have.,Kita bakal njupuk apa wae sing sampeyan duwe.,5,8,0.625
We'll meet here in this room.,Kita bakal ketemu kene ing kamar iki.,6,7,0.8571428571428571
Tom used to be so considerate.,Tom biyen dadi perhatian.,6,4,1.5
We'll be here when it's over.,Kita bakal ing kene yen wis rampung.,6,7,0.8571428571428571
We'll always be here for you.,Kita bakal tansah ana kanggo sampeyan.,6,6,1.0
Tom understood that perfectly.,Tom mangertos sampurna.,4,3,1.3333333333333333
We'd love to hear your story.,Kita bakal seneng krungu crita sampeyan.,6,6,1.0
We won't allow this to go on.,Kita ora bakal ngidini iki terus.,7,6,1.1666666666666667
We're in no hurry to do that.,Kita ora kesusu nglakoni.,7,4,1.75
We're here to finish the job.,We are kene kanggo ngrampungake proyek.,6,6,1.0
Tom was a friend and a mentor.,Tom minangka kanca lan mentor.,7,5,1.4
We're here to demand justice.,Kita kene kanggo njaluk keadilan.,5,5,1.0
We're here for the long haul.,Kita ing kene kanggo jangka panjang.,6,6,1.0
Tom wants to remain anonymous.,Tom pengin tetep anonim.,5,4,1.25
We're going to put on a show.,Kita bakal nggawe pertunjukan.,7,4,1.75
We're going to go after them.,Kita bakal ngetutake dheweke.,6,4,1.5
Tom wants to improve his life.,Tom pengin nambah uripe.,6,4,1.5
We're going to build on this.,Kita bakal mbangun iki.,6,4,1.5
We're glad it all worked out.,Kita seneng kabeh wis rampung.,6,5,1.2
Tom wanted to write something.,Tom pengin nulis apa wae.,5,5,1.0
We're expecting some hiccups.,Kita ngarepake sawetara hiccups.,4,4,1.0
We're expecting a busy night.,Kita ngarepake wengi sing sibuk.,5,5,1.0
Tom wanted to see what was up.,Tom kepengin weruh apa sing kedadeyan.,7,6,1.1666666666666667
We're due back in court soon.,Kita bakal bali ing pengadilan enggal.,6,6,1.0
We're covering all our bases.,Kita nutupi kabeh basis kita.,5,5,1.0
Tom wanted to keep Mary alive.,Tom pengin njaga Mary supaya urip.,6,6,1.0
We're checking for hepatitis.,Kita mriksa hepatitis.,4,3,1.3333333333333333
We're certainly not affluent.,Kita mesthi ora makmur.,4,4,1.0
Tom wanted to get out of jail.,Tom kepengin metu saka kunjara.,7,5,1.4
We're becoming too conceited.,Kita dadi sombong banget.,4,4,1.0
We're at the top of our game.,Kita ing ndhuwur game kita.,7,5,1.4
Tom wanted to get a black van.,Tom pengin njaluk van ireng.,7,5,1.4
We're as capable as they are.,Kita bisa kaya dheweke.,6,4,1.5
We're an advertising company.,Kita perusahaan iklan.,4,3,1.3333333333333333
Tom visits us every other day.,Tom ngunjungi kita saben dina.,6,5,1.2
We're all trying to act cool.,Kita kabeh nyoba tumindak keren.,6,5,1.2
We'll try again next weekend.,Kita bakal nyoba maneh akhir minggu ngarep.,5,7,0.7142857142857143
Tom uttered a cry of surprise.,Tom ngucap kaget.,6,3,2.0
We'll take whatever you have.,Kita bakal njupuk apa wae sing sampeyan duwe.,5,8,0.625
We'll meet here in this room.,Kita bakal ketemu kene ing kamar iki.,6,7,0.8571428571428571
Tom used to be so considerate.,Tom biyen dadi perhatian.,6,4,1.5
We'll be here when it's over.,Kita bakal ing kene yen wis rampung.,6,7,0.8571428571428571
We'll always be here for you.,Kita bakal tansah ana kanggo sampeyan.,6,6,1.0
Tom understood that perfectly.,Tom mangertos sampurna.,4,3,1.3333333333333333
We'd love to hear your story.,Kita bakal seneng krungu crita sampeyan.,6,6,1.0
We won't allow this to go on.,Kita ora bakal ngidini iki terus.,7,6,1.1666666666666667
We're in no hurry to do that.,Kita ora kesusu nglakoni.,7,4,1.75
We're here to finish the job.,We are kene kanggo ngrampungake proyek.,6,6,1.0
Tom was a friend and a mentor.,Tom minangka kanca lan mentor.,7,5,1.4
We're here to demand justice.,Kita kene kanggo njaluk keadilan.,5,5,1.0
We're here for the long haul.,Kita ing kene kanggo jangka panjang.,6,6,1.0
Tom wants to remain anonymous.,Tom pengin tetep anonim.,5,4,1.25
We're going to put on a show.,Kita bakal nggawe pertunjukan.,7,4,1.75
We're going to go after them.,Kita bakal ngetutake dheweke.,6,4,1.5
Tom wants to improve his life.,Tom pengin nambah uripe.,6,4,1.5
We're going to build on this.,Kita bakal mbangun iki.,6,4,1.5
We're glad it all worked out.,Kita seneng kabeh wis rampung.,6,5,1.2
Tom wanted to write something.,Tom pengin nulis apa wae.,5,5,1.0
We're expecting some hiccups.,Kita ngarepake sawetara hiccups.,4,4,1.0
We're expecting a busy night.,Kita ngarepake wengi sing sibuk.,5,5,1.0
Tom wanted to see what was up.,Tom kepengin weruh apa sing kedadeyan.,7,6,1.1666666666666667
We're due back in court soon.,Kita bakal bali ing pengadilan enggal.,6,6,1.0
We're covering all our bases.,Kita nutupi kabeh basis kita.,5,5,1.0
Tom wanted to keep Mary alive.,Tom pengin njaga Mary supaya urip.,6,6,1.0
We're checking for hepatitis.,Kita mriksa hepatitis.,4,3,1.3333333333333333
We're certainly not affluent.,Kita mesthi ora makmur.,4,4,1.0
Tom wanted to get out of jail.,Tom kepengin metu saka kunjara.,7,5,1.4
We're becoming too conceited.,Kita dadi terlalu sombong.,4,4,1.0
We're at the top of our game.,Kita ing ndhuwur game kita.,7,5,1.4
Tom wanted to get a black van.,Tom pengin njaluk van ireng.,7,5,1.4
We're as capable as they are.,Kita bisa kaya dheweke.,6,4,1.5
We're an advertising company.,Kita perusahaan iklan.,4,3,1.3333333333333333
Tom visits us every other day.,Tom ngunjungi kita saben dina.,6,5,1.2
We're all trying to act cool.,Kita kabeh nyoba tumindak keren.,6,5,1.2
We'll try again next weekend.,Kita bakal nyoba maneh akhir minggu ngarep.,5,7,0.7142857142857143
Tom uttered a cry of surprise.,Tom ngucap kaget.,6,3,2.0
We'll take whatever you have.,Kita bakal njupuk apa wae sing sampeyan duwe.,5,8,0.625
We'll meet here in this room.,Kita bakal ketemu kene ing kamar iki.,6,7,0.8571428571428571
Tom used to be so considerate.,Tom biyen dadi perhatian.,6,4,1.5
We'll be here when it's over.,Kita bakal ing kene yen wis rampung.,6,7,0.8571428571428571
We'll always be here for you.,Kita bakal tansah ana kanggo sampeyan.,6,6,1.0
Tom understood that perfectly.,Tom mangertos sampurna.,4,3,1.3333333333333333
We'd love to hear your story.,Kita bakal seneng krungu crita sampeyan.,6,6,1.0
We won't allow this to go on.,Kita ora bakal ngidini iki terus.,7,6,1.1666666666666667
Tom isn't thinking about that.,Tom ora mikir bab iku.,5,5,1.0
Thank you for the kind words.,Matur nuwun kanggo tembung apik.,6,5,1.2
Some major challenges remain.,Sawetara tantangan utama tetep.,4,4,1.0
Tom isn't an elected official.,Tom dudu pejabat sing dipilih.,5,5,1.0
Slow down to avoid accidents.,Alon-alon supaya ora kacilakan.,5,4,1.25
Share this with your friends.,Nuduhake iki karo kanca-kanca.,5,4,1.25
Tom is working to change that.,Tom kerja kanggo ngganti.,6,4,1.5
Setting limits is imperative.,Nyetel watesan iku penting.,4,4,1.0
Sales were apparently dismal.,Penjualan katon surem.,4,3,1.3333333333333333
Tom is well aware of the odds.,Tom uga weruh saka rintangan.,7,5,1.4
Please prepare for departure.,Mangga nyiapake kanggo budhal.,4,4,1.0
Please be more understanding.,Mangga luwih pangerten.,4,3,1.3333333333333333
Tom is the official spokesman.,Tom minangka juru bicara resmi.,5,5,1.0
Please be fair and impartial.,Mangga dadi adil lan ora adil.,5,6,0.8333333333333334
People were sleeping outside.,Wong-wong padha turu ing njaba.,4,5,0.8
Tom is the current head coach.,Tom minangka pelatih kepala saiki.,6,5,1.2
People let their guards down.,Wong-wong ngeculke pengawale.,5,3,1.6666666666666667
People die in different ways.,Wong mati kanthi cara sing beda-beda.,5,6,0.8333333333333334
Tom is the band's lead singer.,Tom minangka penyanyi utama band.,6,5,1.2
People are hugging strangers.,Wong-wong padha ngrangkul wong liyo.,4,5,0.8
Our veterans deserve no less.,Veteran kita pantes ora kurang.,5,5,1.0
Tom is the alleged ringleader.,Tom minangka pimpinan sing diduga.,5,5,1.0
Our children deserve no less.,Anak-anak kita pantes ora kurang.,5,5,1.0
Our children aren't to blame.,Anak-anak kita ora kudu disalahake.,5,5,1.0
Tom is relaxing alone at home.,Tom lagi santai ing omah.,6,5,1.2
Our business is confidential.,Bisnis kita rahasia.,4,3,1.3333333333333333
"Obviously, it's a big relief.","Temenan, iku relief gedhe.",5,4,1.25
Tom is opposed to the project.,Tom nentang proyek kasebut.,6,4,1.5
"Now, the situation is better.","Saiki, kahanan luwih apik.",5,4,1.25
Now that's not very friendly.,Saiki sing ora grapyak banget.,5,5,1.0
Tom is on his own on this one.,Tom dhewe ing siji iki.,8,5,1.6
Now that's a retirement plan.,Saiki iku rencana pensiun.,5,4,1.25
Now that's a different story.,Saiki critane beda.,5,3,1.6666666666666667
Tom is naturally disappointed.,Tom mesthi kuciwa.,4,3,1.3333333333333333
Now that will be interesting.,Saiki sing bakal menarik.,5,4,1.25
Now open your fortune cookie.,Saiki mbukak cookie rejeki.,5,4,1.25
Tom is likely not coming back.,Tom kamungkinan ora bali.,6,4,1.5
Nothing worked for very long.,Ora ana sing makarya suwe banget.,5,6,0.8333333333333334
